1,4.674,4.709,4.668
2,4.732,4.741,4.722
3,4.725,4.749,4.717
4,4.742,4.762,4.730
5,4.815,4.905,4.824
6,4.817,4.889,4.823
7,4.756,4.809,4.758
8,4.775,4.819,4.776
9,4.786,4.859,4.784
10,4.790,4.842,4.783
11,4.847,4.937,4.857
12,4.829,4.910,4.839
13,4.849,4.910,4.843
14,4.860,4.984,4.834
15,4.826,4.946,4.794
16,4.899,4.990,4.851
17,4.987,5.100,4.994
18,5.143,5.269,5.134
19,5.185,5.302,5.180
20,5.149,5.265,5.150
21,5.144,5.248,5.136
22,5.097,5.236,5.144
23,5.224,5.279,5.246
24,5.292,5.371,5.332
25,5.276,5.306,5.285
26,5.249,5.315,5.273
27,5.337,5.403,5.367
28,5.360,5.432,5.390
29,5.298,5.376,5.326
30,5.222,5.300,5.265
31,5.209,5.245,5.221
32,5.156,5.155,5.159
33,5.149,5.134,5.154
34,5.108,5.081,5.103
35,5.075,5.022,5.069
36,5.138,5.118,5.134
37,5.149,5.161,5.161
38,5.218,5.245,5.227
39,5.220,5.233,5.218
40,5.180,5.184,5.173
41,5.131,5.111,5.121
42,5.163,5.106,5.141
43,5.132,5.146,5.125
44,5.181,5.167,5.173
45,5.136,5.112,5.127
46,5.119,5.058,5.104
47,5.144,5.084,5.136
48,5.149,5.070,5.132
49,5.028,4.962,5.008
50,4.970,4.931,4.938
51,4.966,4.899,4.922
52,4.910,4.837,4.865
53,4.908,4.822,4.855
54,4.901,4.809,4.844
55,4.914,4.816,4.858
56,4.910,4.773,4.840
57,4.811,4.721,4.759
58,4.779,4.660,4.731
59,4.687,4.582,4.633
60,4.730,4.661,4.679
61,4.743,4.671,4.695
62,4.795,4.701,4.744
63,4.818,4.739,4.766
64,4.850,4.777,4.787
65,4.832,4.764,4.768
66,4.879,4.837,4.821
67,4.850,4.792,4.785
68,4.877,4.833,4.828
69,4.978,4.883,4.950
70,4.955,4.902,4.920
71,4.936,4.870,4.885
72,4.949,4.920,4.904
73,4.912,4.917,4.865
74,4.917,4.920,4.857
75,4.922,4.930,4.866
76,4.969,4.962,4.921
77,4.932,4.944,4.889
78,4.897,4.913,4.848
79,4.925,4.942,4.877
80,4.968,4.999,4.921
81,4.947,4.986,4.909
82,5.033,5.066,4.991
83,5.059,5.097,5.021
84,5.190,5.232,5.158
85,5.179,5.202,5.145
86,5.182,5.201,5.141
87,5.175,5.203,5.150
88,5.192,5.252,5.164
89,5.160,5.230,5.125
90,5.143,5.193,5.104
91,5.170,5.219,5.136
92,5.148,5.164,5.105
93,5.104,5.130,5.062
94,5.169,5.184,5.131
95,5.179,5.167,5.128
96,5.234,5.183,5.192
97,5.251,5.204,5.187
98,5.249,5.240,5.189
99,5.260,5.251,5.201
100,5.262,5.259,5.203
